contas,nomenclatura_estrutura
RING JOINT^DEDUCOES DA RECEITA,COGS - 3RD - DOMESTIC
AUXILIO CRECHE^DESPESAS DE PESSOAL - BENEFICIOS,( - ) DESPESAS COM BENEFÍCIOS
JUROSSOBRERECEBÍVEIS^RECEITASFINANCEIRAS,( + ) RECEITA FINANCEIRA
SERV TERCEIROS - APOIO ADMINISTRATIVO^SERVIÇOS DE TERCEIROS-ADMINISTRATIVO,( - ) DESPESAS COM TERCEIROS
RECEITAS DE GLOSAS RECURSADAS^OUTRAS RECEITAS,( + ) OUTRAS RECEITAS (DESPESAS)
MAO DE OBRA TERCEIRIZADA PESSOA JURIDICA^DESPESAS C/ PESSOAL,( - ) DESPESAS COM TERCEIROS
PROVISÃO DE 13º SAL.^DESPESAS COM PROVISÕES,( - ) CUSTOS COM SALÁRIOS E ENCARGOS
AJUDA DE CUSTO^PROVENTOS,( - ) CUSTOS COM REMUNERAÇÃO
PROVISAO FGTS S/FERIAS^PROV. P/ FERIAS E 13. SALARIO DE EMPREG.,( - ) CUSTOS COM ENCARGOS E PROVISÕES
RING JOINT^DEDUCOES DA RECEITA,COGS - 3RD - DOMESTIC
CONTRIBUICAO SINDICAL^BENEFICIOS A EMPREGADOS,( - ) DESPESAS COM BENEFÍCIOS
REC DE ROYALTIES A C - VZ MADUREIRA SHOPPING^RECUP DE ROYALTIES DO ANO CORRENTE VZ,( + ) RECUP. DE ROYALTIES  ANO CORRENTE
CONTRIB.SINDICAL EMPRESA^DESPESAS C/IMPOSTOS E TAXAS,( - ) OUTROS IMPOSTOS E TAXAS
"IMPOSTOS E TAXAS FEDERAIS^IMPOSTOS, TAXAS E CONTRIBUIÇÕES",( - ) OUTROS IMPOSTOS E TAXAS
VENDAS DE MERCADORIAS^VENDAS DE MERCADORIAS,( + ) RECEITA DE MERCADORIAS
LANCHES E REFEICOES^DESPESAS DE VIAGENS,( - ) VIAGENS
ROYALTIES - VZ OLEGÁRIO MACIEL^ROYALTIES,( + ) ROYATIES
ALUGUEIS^[NÃO IDENTIFICADA],( - ) DESPESAS GERAIS E ADMINISTRATIVAS
COFINS - SCP 2^SCPS,( - ) PIS/COFINS
ASSESSORIA FINANCEIRA/ESTRATEGICA^CUSTOS COM SERVICOS DE TERCEIROS,( - ) SERV DE TERCEIROS
OUTROS GASTOS COM PESSOAL^SALÁRIOS E 13º ADMINISTRAÇÃO,( - ) ADICIONAIS DE PESSOAL
PROVISÃO CSLL^PROVISÃO - CSLL,( - ) IR/CS CORRENTE
TELEFONE CONVENCIONAL^CREDITOS COM PESSOAS LIGADAS - NC,( - ) DESPESAS COM TELECOM
ASSITENCIA MEDICA E ODONTOLOGICA^CUSTOS COM PESSOAL,( - ) PESSOAL
SEG.DE ACIDENTES DO TRABALHO^ENCARGOS SOCIAIS,( - ) DESPESAS COM ENCARGOS
SEGUROS DE EMPREGADOS^DESPESAS COM PESSOAL,( - ) DESPESAS COM BENEFÍCIOS
REFEIÇÕES^DEMAIS RECEITAS DE PRESTAÇÃO DE SE,( + ) RECEITAS BRUTA
SEGUROS DIVERSOS^DESPESAS GERAIS E ADMINISTRATIVAS,( - ) DESPESAS GERAIS
TARIFAS BANCARIAS^DESPESAS FINANCEIRAS,( - ) DESPESAS FINANCEIRAS
ADVOCACIA^SERVICOS PREST. P/ TERCEIROS,( - ) DESPESAS COM TERCEIROS
ASSISTENCIA MEDICA^DESPESAS C/PESSOAL,( - ) CUSTOS COM FOPAG
IMPOSTO DE RENDA PESSOA JURIDICA^PROVISAO PARA IRPJ,( - ) IR/CS CORRENTE
DESPESAS C/VIAGEM E ESTADA^[NÃO IDENTIFICADA],( - ) TRAVEL EXPENSES
ALUGUEIS^CAIXA GERAL,( - ) DESPESAS COM LOCAÇÃO
TRANSF.DESPESA CUSTO DIRETO^DEDUCOES DA RECEITA,TRANSITÓRIA APURAÇÃO DE CUSTO
AUDITORIA CONTABIL^SERVICOS PRESTADOS P.FISICA,( - ) DESPESAS COM TERCEIROS
ASSINATURAS^DESPESAS GERAIS,( - ) OUTRAS DESPESAS COM FOPAG
GRATIFICACOES^DESPESAS C/PESSOAL,( - ) CUSTOS COM FOPAG
FUNDO DE GARANTIA DE OPERACOES BOVESPA^DESPESAS DE SERVICOS DO SISTEMA FINANCEIRO,( - ) OUTROS IMPOSTOS E TAXAS
DESPESAS C/LABORATORIO^DESPESAS ADMINISTRATIVAS,( - ) DESPESAS ADMINISTRATIVAS
DESPESAS COM REPRESENTAÇÕES^DESPESAS GERAIS ADMINISTRATIVAS,( - ) DESPESAS GERAIS
TAXA DE SERVICO  FRIGOBAR.^RECEITA COM PRESTACAO DE SERVICOS.....,( + ) VENDAS DE SERVIÇOS
DESCONTOS - BTG SAO GONCALO SHOPPING^DESC CONCEDIDOS BTG,( - ) DESCONTOS CONCEDIDOS
VALEREFEICAO^DESPESASCOMPESSOAL,( - ) CUSTOS DE ALUGUÉIS E SERVIÇOS
CSV DESP VIAGENS ALC USINA^APURACAO DO RESULTADO,( - ) CUSTOS FIXOS
ISS^IMPOSTOS SOBRE  A RECEITA,( - ) ISS
REC DE RECEITAS - BTG ILHA PLAZA SHOPPING^RECUPERAÇÃO DE RECEITA ANOS ANTERIORES,( + ) FUNDO DE PROPAGANDA
INCENT EDUCAÇÃO MKT^DESPESAS COM PESSOAL,( - ) DESPESAS COM BENEFÍCIOS
SERVICOS DE SEGURANCA E LIMPEZ^DEDUCOES DA RECEITA,ADMINISTRATIVE
AVISO PREVIO^[NÃO IDENTIFICADA],( - ) DESPESAS COM REMUNERAÇÃO
SERV. TERC. CONTABIL/ASSESSORIA/ AUDIT/ADVOC.^SERVICOS TERCEIRIZADOS - PESSOA JURIDICA,( - ) DESPESAS COM TERCEIROS
(-) RECUPERACAO PIS ALUGUEIS.^DESPESAS COM ALUGUEIS................,( - ) CUSTO DOS SERVIÇOS - ALUGUEIS
CSLL - CONTRIBUIÇÃO SOCIAL^PROVISÃO IMPOSTOS E CONTRIBUIÇÕES SOBRE O LUCRO,( - ) IR/CS CORRENTE
ASSISTENCIA MEDICA E ODONTOLOGICA^DESPESAS COM PESSOAL,( - ) DESPESAS COM SALÁRIOS
IRPJ - IMPOSTO DE RENDA PESSOA JURIDICA^PROVISÃO IMPOSTOS E CONTRIBUIÇÕES SOBRE O LUCRO,( - ) IR/CS CORRENTE
INSTALAÇÃO^DESPESAS OUTROS SERVIÇOS,( - ) SERVIÇOS
INSS^ENCARGOS SOCIAIS,( - ) CUSTOS COM ENCARGOS E PROVISÕES
CORREIOS E MALOTES^DESPESAS GERAIS,( - ) DESPESAS GERAIS
FERIAS^CAIXA GERAL,( - ) DESPESAS COM 13º SALÁRIOS E FÉRIAS
REEMBOLSO DE SINISTROS -SEGUROS^OUTRAS RECEITAS OPERACIONAIS,( + ) OUTRAS RECEITAS OPERACIONAIS
COFINS S/ LOCAÇÃO DE IMÓVEIS DO GRUPO^(-) IMPOSTOS INCIDENTES S/ LOCAÇÃO DE IMÓVEIS,( - ) PIS/COFINS
(-) ISS^OBRIGACOES DIVERSAS,( - ) ISS
COPA E COZINHA^GASTOS FIXOS,( - ) OUTRAS DESPESAS
MANUTENÇÃO VEÍCULOS ADM.^GASTOS FIXOS,( - ) DESPESAS GERAIS
CRED PRES ICMS FROT PROP C LIQ^APURACAO DO RESULTADO,(-) IMPOSTOS SOBRE VENDAS E SERVIÇOS
RENDIMENTO APLICACOES FINANCEIRAS^RECEITAS FINANCEIRAS,( + ) OUTRAS RECEITAS FINANCEIRAS
DIVERG.TABELA A MENOS-V.VISTA-COND.ESPECIAIS^DIVERGENCIA PRECO TABELA A VISTA,( - ) DEDUÇÕES DE VENDAS
CONSERVACAO MANUT. VEICULOS^ENTRADAS COMERCIAIS,( - ) DESPESAS GERAIS
OUTRAS DESPESAS TRIBUTARIAS^IMPOSTOS-TAXAS E DEMAIS DESP.TRIBUT.,( - ) OUTROS IMPOSTOS E TAXAS
ASSISTENCIA SOCIAL A EMPREGADOS^BENEFICIOS SOCIAIS,( - ) DESPESAS COM FOPAG
CORREIOS E MALOTES^CUSTOS DE PROJETOS / EVENTOS,TOTCLSVC - COST OF CLIENT SERVICES
(-) ISS^( - ) IMPOSTOS INCIDENTES S/ VENDAS,( - ) ISS
CONTRIB.SINDICAL EMPREGADOR^DESPESAS TRIBUTARIAS,( - ) DESPESAS TRIBUTÁRIAS
OUTROS SERVIÇOS^SERVICOS DE TERCEIROS PJ PF,( - ) DESPESAS COM TERCEIROS
CONSULTORIA^DESPESAS ADMINISTRATIVAS,( - ) DESPESAS COM TERCEIROS
SISTEMA DE SEGURANCA^CUSTOS COM SERVICOS DE TERCEIROS,( - ) SERV DE TERCEIROS
MATERIAL EXPEDIENTE/CONSUMO/INFORMATICA^DESPESAS GERAIS,( - ) OUTRAS RECEITAS / DESPESAS
ENERGIA ELETRICA^CUSTOS COM UTILIDADES PUBLICAS,( - ) UTILIDADES
ADMINISTRATIVO^CSLL - CONTRIBUIÇÃO SOCIAL,( - ) IR/CS CORRENTE
(-) SEMIACABADO^(-) ESTOQUE FINAL,( - ) CUSTOS DIRETOS DE PRODUÇÃO
FGTS^CUSTOS COM PESSOAL,( - ) PESSOAL
(-) RECUPERACAO DE DESPESAS^CUSTOS COM PESSOAL,( - ) PESSOAL
ISS^IMPOSTOS SOBRE VENDAS,( - ) ISS
VARIACAO MONETARIA PASSIVA^DESPESAS FINANCEIRAS,TOTCLSVC - COST OF CLIENT SERVICES
SERVIÇOS DE APOIO OPERACIONAL^SERVIÇOS DE TERCEIROS-OPERACIONAL,( - ) CUSTOS COM TERCEIROS
CUSTO DAS DESPESAS INDUSTRIAIS^CUSTO DAS VENDAS DE BENS,( - ) CUSTOS DE VENDAS
REEMBOLSO DIVERSOS^DESPESAS GERAIS,( - ) GENERAL EXPENSES
COMUNICACAO - REDE E INTERNET^OUTRAS DESPESAS ADMINISTRATIVAS,( - ) DESPESAS COM TELECOM
TIJUCA PARTICIPAÇÕES LTDA.^RESULTADO DE EQUIV PATRIMONIAL,( +/- ) RESULTADO DE EQUIVALÊNCIA PATRIMONIAL
VALE REFEIÇÃO PRODUÇÃO^CUSTO PESSOAL PRODUÇÃO,( - ) CUSTOS COM PESSOAL
MANUTENÇÃO E REPAROS VEICULOS^DESPESAS COM PRESTAÇÃO DE SERVIÇOS,( - ) CUSTOS DOS SERVIÇOS
(-) ICMS S/VENDA PROD.SORVETE PREMIUM^(-) TRIBUTOS S/VENDA PROD.SORVETE PREMIU,( - ) ICMS
JUROS^DESPESAS COM IMÓVEIS,RESULTADO FINANCEIRO
IPI S/OUTRAS SAIDAS^DEDUCOES DAS VENDAS DE PRODUTOS,( - ) IPI
PROVISAO ENCARGOS S/ FERIAS^PROVISOES TRABALHISTAS,( - ) CUSTOS COM ENCARGOS
ALUGUEIS E TAXAS^DESPESAS COMERCIAIS,( - ) DESPESAS GERAIS
PROPAGANDA E PUBLICIDADE^RESULTADO DO EXERCICIO,( - ) GOOGLE ADWORDS
ASSISTENCIA MEDICA^[NÃO IDENTIFICADA],( - ) CUSTO SERVIÇOS PRESTADOS
PIS-JUNTAS CORTADAS^DEDUCOES DA RECEITA,NET SALES 3RD - DOMESTIC
TERCEIRIZACAO DE MAO DE OBRA^DESPESAS COM PESSOAL,( - ) PESSOAL
SISTEMAS DE ATENDIMENTO^DESPESAS DE PROCESSAMENTO DE DADOS,( - ) DESPESAS COM SOFTWARES
AGUA^OUTROS CUSTOS DE PRODUCAO,( - ) CUSTOS DOS SERVIÇOS
TAXAS DIVERSAS^BANCO SANTANDER,( - ) DESPESAS DIVERSAS
ICMS S/ BONIFICAÇOES REMETIDAS^COMPRAS DE MERCADORIAS PARA REVENDA,( - ) ICMS
OUT DESP C/PES FESTIV/HOMENAGE^APURACAO DO RESULTADO,(-) GERAIS E ADMINISTRATIVAS
GAS GLP^DESPESAS COM UTILIDADES,( - ) DESPESAS COM UTILIDADES
ASSISTENCIA MEDICA^[NÃO IDENTIFICADA],( - ) DESPESAS COM BENEFÍCIOS
MATERIAL DE CONSUMO^CAIXA GERAL,( - ) DESPESAS GERAIS
VISA CREDITO^BOMBONIERE,( + ) RECEITA BRUTA
SUPORTE TÉCNICO^CONSERVACAO MANUTENCAO,( - ) CONSERVAÇÃO E MANUTENÇÃO
CARTORIO^DESPESAS GERAIS,( - ) DESPESAS GERAIS
AVISO PREVIO E INDENIZACOES - CUSTO^[NÃO IDENTIFICADA],( - ) CUSTOS COM REMUNERAÇÃO
CUSTO DAS MERCADORIAS VENDIDAS^CUSTO DAS MERCADORIAS VENDIDAS,( - ) CUSTO DAS MERCADORIAS VENDIDAS
OUTRAS TAXAS MUNICIPAIS^IMPOSTOS E TAXAS MUNICIPAIS,( - ) DESPESAS GERAIS
SERVIÇOS PRESTADOS PESSOA JURIDICA^DESPESAS DE SERVICOS DE TERCEIROS,( - ) DESPESAS COM TERCEIROS
DEPRECIAÇÃODEMÓVEISEUTENSÍLIOS^DEPRECIAÇÃOPPI-CUSTO,( - ) DEPRECIAÇÃO E AMORTIZAÇÃO
ESTAGIARIOS^PESSOAL + ENCARGOS,( - ) DESPESAS COM SALÁRIOS
MENOR APRENDIZ^SALÁRIOS E ORDENADOS,( - ) SALÁRIOS
ESTACIONAMENTOS^CAIXA GERAL,( - ) VIAGENS E DESLOCAMENTOS
ASSESSORIA ADMINISTRATIVA^DESPESAS SUPORTE EMPRESARIAL,( - ) ASSESSORIA TÉCNICA
(-) RECUPERACAO FARMACIA^BENEFICIOS,( - ) DESPESAS COM BENEFÍCIOS
(-)ASSISTENCIA ODONTOLOGICA^BENEFICIOS,( - ) DESPESAS COM BENEFÍCIOS
INSS^ENCARGOS SOCIAIS,( - ) DESPESAS COM ENCARGOS
TARIFA DE TRANSFERENCIA^DEPOSITOS BANCARIOS A VISTA,( + ) TARIFA DE TRANSFERÊNCIA
"LUZ, GÁS E FORÇA^DESPESAS ADMINISTRATIVAS",( - ) DESPESAS COM UTILIDADES
IMPOSTO DE RENDA DIFERIDO^TRIBUTOS SOBRE LUCRO,( - ) IR/CS CORRENTE
SERV. DE MANUTENÇÃO^SERV. PROF. CONTRATADOS,( - ) SERV. PROF. CONTRATADOS
ALIMENTACAO VIAGENS^DESPESAS GERAIS,( - ) VIAGENS
"(-) IPI S/VENDA SORVETE 1,5L^(-) TRIBUTOS S/VENDA .SORVETE 1,5L",( - ) IPI
MATERIAL INTERMEDIARIO^DEDUCOES DA RECEITA,INDUSTRIAL
AJUDA COMBUSTIVEL/VEICULO^BENEFICIOS,( - ) DESPESAS COM BENEFÍCIOS
[6699]TARIFA DE MANUT DE C/C^[NÃO IDENTIFICADA],( - ) DESPESAS GERAIS
FGTS^CAIXA GERAL,( - ) DESPESAS COM ENCARGOS
FÉRIAS^DESPESAS COM PESSOAL,( - ) FÉRIAS E 13O SALÁRIO
DESPESA DE PESSOAL^DESPESAS GERAIS E ADMINISTRATIVAS,( - ) DESPESAS COM SALÁRIOS
(-) TRANSF - IMOBILIZADO EM CONSTRUCAO^[NÃO IDENTIFICADA],( - ) DESPESAS COM BENEFÍCIOS
(-) RECUPERAÇÕES DIVERSAS^GASTOS GERAIS,( - ) DESPESAS GERAIS E ADMINISTRATIVAS
[NÃO IDENTIFICADA]^[NÃO IDENTIFICADA],( - ) DEPRECIAÇÃO E AMORTIZAÇÃO
COMBUSTIVEIS E LUBRIFICANTES^DESPESAS ADMINISTRATIVAS,( - ) DESPESAS GERAIS
PIS FRETE - TR MATERIAL CONSUMO^(-) IMPOSTOS INCIDENTES SOBRE SERVICOS,( - ) PIS/COFINS
EXAMES LABORATORIO^SERVICO DE TERCEIROS-PESS.JURIDICAS..,( - ) SERVIÇOS DE TERCEIROS
FRETES E CARRETOS^DESPESAS GERAIS ADMINISTRATIVAS,( - ) DESPESAS GERAIS
MENSALIDADE^RECEITA DE SERVICOS PRESTADOS,( + ) MENSALIDADE
INSS S/F�RIAS^RESULTADO DO EXERCICIO,( - ) HUMAN RESOURCES - LOGISTIC
PRODUTOS ESPECIAIS^DEDUCOES DA RECEITA,NET SALES 3RD - DOMESTIC
"IMPOSTOS E TAXAS DIVERSAS^IMPOSTOS, TAXAS E CONTRIBUICOES",( - ) OUTROS IMPOSTOS E TAXAS
"IPVA^IMPOSTOS, TAXAS E CONTRIBUICOES",( - ) DESPESAS TRIBUTÁRIAS
ASSISTENCIA MEDICA E SOCIAL^DESPESAS COM PESSOAL,( - ) DESPESAS COM FOPAG
COFINS S/ COMPRAS^COMPRAS P/ COMERCIALIZACAO,( - ) CUSTO DAS MERCADORIAS VENDIDAS
PEÇAS AVARIA^GASTOS FIXOS,( - ) OUTRAS DESPESAS
CLIPAGEM^CUSTOS DE PROJETOS / EVENTOS,TOTCLSVC - COST OF CLIENT SERVICES
MANUTENCAO DE SISTEMAS DE INFORMATICA^DESPESAS GERAIS,( - ) DESPESAS COM TERCEIROS
MERKETING^DESPESAS GERAIS,( - ) DESPESAS GERAIS E ADMINISTRATIVAS
ALIMENTACAO E CESTA BASICA^CREDITOS COM PESSOAS LIGADAS - NC,( - ) DESPESAS COM BENEFÍCIOS
TRANSITORIA - TRANSFERENCIAS EM TRANSITO^TRANSITORIA - TRANSFERENCIAS EM TRANSITO,( +/- ) RESULTADOS TRANSITÓRIOS
OUTRAS RECEITAS^OUTRAS RECEITAS,( + ) RECEITA FINANCEIRA
HORAS EXTRAS^PROVENTOS DE FOLHA PAGAMENTO,( - ) DESPESAS COM REMUNERAÇÃO
412             JUROS PAGOS OU INCORRIDOS^810301        DESPESAS FINANCEIRAS,( - ) DESPESAS FINANCEIRAS
RECRUTAMENTO E SELECAO^SERVICOS DE TERCEIROS,( - ) OUTRAS DESPESAS COM FOPAG
INDADIMPLÊNCIA - BTG MADUREIRA^INADIMPLÊNCIA,( + ) ROYATIES
"TAXAS FEDERAIS-ESTADUAIS-MUNICIPAIS^IMPOSTOS, TAXAS E CONTRIBUICOES",( - ) IMPOSTOS E TAXAS
UNIFORMES^[NÃO IDENTIFICADA],( - ) CUSTO SERVIÇOS PRESTADOS
ANUIDADES/MENSALIDADES^DESPESAS OPERACIONAIS-OUTRAS,( - ) ADICIONAIS DE PESSOAL
ENERGIA ELETRICA ADM^UTILIDADES,( - ) DESPESAS ADMINISTRATIVAS
(-) IPI SOBRE VENDAS E SERVIÇOS^(-) IMPOSTOS S/VENDAS E SERVIÇOS,( - ) DESCONTOS E ABATIMENTOS
FGTS - PROVISÃO 13º SALÁRIO^MÃO DE OBRA,( - ) DESPESAS COM ENCARGOS
MANUTENÇÃO - W3 NET TALENT^RECEITAS  C/ MANUTENÇÃO,RECEITA DE MANUTENÇÃO
TRANSFERENCIAS MERCAD DEFENSIVOS ENTRE LOJAS^CUSTOS DO DEFENSIVOS VENDIDOS,( - ) CMV - DEFENSIVOS
CONTRIBUICAO SOCIAL^CONTRIBUICAO SOCIAL,( - ) IR/CS CORRENTE
SUPORTE TÉCNICO^DESPESAS PROCESSAMENTO DE DADOS,( - ) PROCESSAMENTO DE DADOS
COMISSOES^COMISSOES,( - ) COMISSÕES DE VENDAS
DESPESAS COM ATUALIZAÇÕES^DESPESAS FINANCEIRAS,( - ) DESPESAS GERAIS
LANCHES-ESCR.CENTRAL/CENTRO DISTRIBUICAO^CONDUCAO E LANCHES,( - ) DESPESAS GERAIS
MULTAS/JUROS S/IMPOSTOS E CONTRIBUICOES^OUTRAS DESPESAS ADMINISTRATIVAS,( - ) OUTRAS DESPESAS ADMINISTRATIVAS
CURSOS E TREINAMENTOS^DESPESAS COM PESSOAL,( - ) PESSOAL
OUTROS SERVIÇOS PESSOA JURÍDICA^DESPESAS GERAIS E ADMINISTRATIVAS,( - ) DESPESAS COM TERCEIROS
PATROCINIOS^DESPESAS INDEDUTIVEIS,( - ) OUTROS CUSTOS OPERACIONAIS
BANCO DE IMAGENS^CUSTOS COM PROPAGANDA E PUBLICIDADE,( - ) MARKETING
DESCONTOSCONCEDIDOS^DESCONTOS,DESCONTOS CONCEDIDOS
RECUPERAÇÃO DE DESPESAS^RECEITAS EVENTUAIS,( + ) RECEITA BRUTA
SEGURO DE VIDA EM GRUPO^BENEFÍCIOS,( - ) BENEFÍCIOS
OUTRAS DESPESAS DE VIAGENS^RESULTADOS DE EXERCICIOS,( - ) DESPESAS COM HOSPEDAGEM
JUROS E CORREÇÃO S/ EMP. E FINANCIAMENTO^DESPESAS FINANCEIRAS,( - ) DESPESAS FINANCEIRAS
"ALVARAS, REGISTRO E LICENCAS^MPOSTOS / TAXAS / CONTRIBUICOE",( - ) DESPESAS GERAIS E ADMINISTRATIVAS
13º SALARIO^RESULTADO DO EXERCICIO,( - ) HUMAN RESOURCES - COGS
(-)ICMS S/FRETES^COMPRAS DE MERCADORIAS,( - ) FRETES
TELEFONE^GASTOS GERAIS,( - ) DESPESAS COM TELECOM
CESTA BASICA^CAIXA GERAL,( - ) DESPESAS COM BENEFÍCIOS
BENS DE PEQUENO VALOR^CUSTOS COM MATERIAL DE CONSUMO,( - ) MATERIAL DE CONSUMO
EQUIPAMENTOS E INSTALACOES^AMORTIZACOES E DEPRECIACOES,OFFICE EXPENSES
OUTRAS DESPESAS ADMINISTRATIVAS^OUTRAS DESPESAS ADM.,( - ) DESPESAS GERAIS
PIS-RING JOINT^DEDUCOES DA RECEITA,NET SALES 3RD - DOMESTIC
PUBLICIDADE E PROPAGANDA^DESPESAS GERAIS E ADM,( - ) DESPESAS COM MARKETING
FRETADO^UTILIDADES E SERVICOS,( - ) DESPESAS GERAIS
SERVIÇOS DE TERCEIROS^RESULTADO DO EXERCICIO,( - ) OPERATIONAL EXPENSES
IMPOSTOS^[NÃO IDENTIFICADA],( - ) OUTROS IMPOSTOS E TAXAS
ALUGUEIS DE IMOVEIS^DESPESAS FINANCEIRAS,( - ) DESPESAS COM LOCAÇÃO
ICMS SUBSTITUICAO TRIBUTARIA^TRIBUTARIAS,( - ) OUTROS IMPOSTOS E TAXAS
DESCONTOS CONCEDIDOS^DESPESAS FINANCEIRAS COMERCIAIS,( +/- ) OUTROS RESULTADOS FINANCEIROS
DESCONTOS OBTIDOS^RECEITAS FINANCEIRAS,( + ) OUTRAS RECEITAS FINANC
SEGUROS DIVERSOS^[NÃO IDENTIFICADA],( - ) DESPESAS GERAIS
GRATIFICAÇÕES^CUSTO PESSOAL SERVIÇO LOCAÇÃO,( - ) CUSTOS COM PESSOAL
VIAGENS - ADMINST^CREDITOS COM PESSOAS LIGADAS - NC,( - ) DESPESAS COM VIAGENS
FRETES E CARRETOS^[NÃO IDENTIFICADA],( - ) PERSONAL EXPENSES
BRINDES PROMOCIONAIS.^DESPESAS COM PROMOCAO................,VENDAS
ENERGIAELETRICA^COMOCUPAÇÃO,( - ) GERAIS E ADMINISTRATIVAS
VARIACAO MONETARIA ATIVA DIF^VARIACOES ATIVAS DIFERIDA,( + ) RECEITA FINANCEIRA
VALE TRANSPORTE^DEDUCOES DA RECEITA,TRANSITÓRIA APURAÇÃO DE CUSTO
HORAS EXTRAS^DESPESAS TRABALHISTAS,( - ) DESPESAS COM PESSOAL
ASSESSORIA ADMINISTRATIVA.^ASSESSSORIA TECNICA..................,( - ) CUSTO DOS SERVIÇOS - PREST SERVIÇOS
TRANSPORTE COM PESSOAL^[NÃO IDENTIFICADA],( - ) DESPESAS ADMINISTRATIVAS
ALUGUEIS RECEBIDOS^OUTRAS RECEITAS OPERACIONAIS,( + ) OUTRAS RECEITAS OPERACIONAIS
(-) CRÉDITOS DE PIS^DESPESAS PREDIAIS E DE OCUPACAO,( - ) DESPESAS COM SERVIÇOS DE AUDITORIA
(-)CANAIS DIGITAIS^(-)DESP.DE PROPAGANDA/PUBLICIDADE,( - ) DESPESAS COM MARKETING
SERVICOS^DEDUCOES DA RECEITA,COGS - 3RD - DOMESTIC
ASSISTENCIA JURIDICA^DEPÓSITOS JUDICIAIS,( - ) LEGAL AND ACCOUNTING EXPENSES - G&A
FÉRIAS^DESPESAS COM PESSOAL,( - ) DESPESAS COM SALÁRIOS
VIAGENS E REPRESENTACOES^OUTRAS DESPESAS OPERACIONAIS,( - ) DESPESAS COM VIAGENS
REFEICOES E LANCHES EM EXPEDIENTE^DESPESAS DE EXPEDIENTE E GERAIS,( - ) DESPESAS COMERCIAIS
13 SALARIO^DEDUCOES DA RECEITA,TRANSITÓRIA APURAÇÃO DE CUSTO
SEGUROS^DESPESAS GERAIS OPERACIONAIS,( - ) DESPESAS GERAIS
FALTAS PRODUÇAO^DESPESAS TRABALHISTAS PRODUÇAO,( - ) CUSTOS COM FOPAG
DESPESAS C/ CARÃO DE CRÉDITO^DESPESAS GERAIS ADMINISTRATIVAS,( - ) CUSTOS GERAIS DE FABRICAÇÃO
TAXAS FEDERAIS^IMPOSTOS. TAXAS E CONTRIBUICOES,( - ) OUTROS IMPOSTOS E TAXAS
ASSISTENCIA MEDICA^IMP. INCID. S/VEND. E SERV.,( - ) CUSTOS COM SALÁRIOS E ENCARGOS
DESPESAS COM COPA E COZINHA^OUTRAS DESPESAS ADMINISTRATIVAS,( - ) DESPESAS GERAIS
FRETE^CUSTO DIRETO DA OPERACAO,( - ) CUSTOS COM PRODUTOS
REFEICOES^CAIXA GERAL,( - ) DESPESAS COM BENEFÍCIOS
TAXAS E LICENCAS^DEDUCOES DA RECEITA,TRANSITÓRIA APURAÇÃO DE CUSTO
REC DE ROYALTIES - BTG NORTE SHOPPING II^RECUPERAÇÃO DE ROYALTIES DO ANO CORRENTE,( + ) ROYATIES
OUTRAS DESPESAS^DESPESAS GERAIS,( - ) DESPESAS COM P&D
"TELEFONE, TELEX E COMUNICAÇÕES^OUTRAS DESPESAS ADMINISTRATIVAS",( - ) DESPESAS COM TELECOM
SEGURO DE ACIDENTES PESSOAIS^PESSOAL E ENCARGOS,( - ) DESPESAS COM FOPAG
SEGURO DAS INSTALACOES PREDIAI^[NÃO IDENTIFICADA],( - ) DESPESAS GERAIS
CARTORÁRIA^OUTRAS DESPESAS ADMINISTRATIVAS,( - ) OUTRAS DESPESAS
JUROS SOBRE PARCELAMENTOS^DESPESAS FINANCEIRAS,( - ) DESPESAS FINANCEIRAS 1
VALOR DE DEPRECIAÇÃO DE BENS BAIXADO POR^OUTRAS RECEITAS NAO OPERACIONAIS,( +/- ) EQUIVALÊNCIA PATRIMONIAL
COFINS-JUNTAS CORTADAS^DEDUCOES DA RECEITA,NET SALES 3RD - DOMESTIC
REC DE ROYALTIES A C - BTG CAMPO GRANDE^RECUP DE ROYALTIES DO ANO CORRENTE BTG,( + ) RECUP. DE ROYALTIES  ANO CORRENTE
PERDAODEDIVIDA^DESPESACOMPROVISOES,( + ) OUTRAS RECEITAS (DESP.) OPERACIONAIS
(-) ISS^(-) IMPOSTOS SOBRE VENDAS E SERVIÇOS,( - ) ISS
HORAS EXTRAS^CAIXA GERAL,( - ) ADICIONAIS DE PESSOAL
(-) RECEITA COM VENDA DE ATIVO FIXO^BAIXA ATIVO FIXO,( +/- ) OUTRAS RECEITAS/DESPESAS OPERACIONAIS
(-) ISS S/ RECEITA DE SERVICOS^RECEITAS DE SERVICOS PRESTADOS,( - ) ISS
ABATIMENTOS CONCEDIDOS^DEVOLUÇÕES E ABATIMENTOS,( + ) RECEITA NO PAIS
FRETE NA ENTREGA^CUSTO NAS VENDAS E SERVIÇOS,( - ) CUSTOS COM FRETE
CURSOS E TREINAMENTOS^(-) PREJUIZOS DO PERIODO,( - ) DESPESAS GERAIS
ALUGUEIS^RESULTADOS DE EXERCICIOS,( - ) DESPESAS COM LOCAÇÃO
FRETES E CARRETOS^DESPESAS GERAIS ADMINISTRATIVAS,( - ) DESPESAS GERAIS
CESTA BASICA^CAIXA GERAL,( - ) DESPESAS COM BENEFÍCIOS
